date,SM,RDIB
2016-03-18,2.7869326527019913,2.4849066497880004
2016-03-21,2.848742659184329,2.4849066497880004
2016-03-22,2.8624798378173777,2.4849066497880004
2016-03-23,2.7831106442271225,2.4849066497880004
2016-03-24,2.7993888115889214,2.5152741864043966
2016-03-28,2.7626622942712493,2.5257286443082556
2016-03-29,2.768230237391418,2.5257286443082556
2016-03-30,2.759866653647664,2.5257286443082556
2016-03-31,2.8079633550150054,2.5257286443082556
2016-04-01,2.7869326527019913,2.5257286443082556
2016-04-04,2.750867717783858,2.5257286443082556
2016-04-05,2.729164981338607,2.5257286443082556
2016-04-06,2.804221035758086,2.5257286443082556
2016-04-07,2.81752264182489,2.5257286443082556
2016-04-08,2.9045340188170097,2.5257286443082556
2016-04-11,2.9045340188170097,2.5257286443082556
2016-04-12,3.115196908906518,2.5257286443082556
2016-04-13,3.106129233922598,2.5257286443082556
2016-04-14,3.0763842757422273,2.5257286443082556
2016-04-15,3.115196908906518,2.4553061800117097
2016-04-18,3.1100818082374495,2.4553061800117097
2016-04-19,3.124960704493803,2.4553061800117097
2016-04-20,3.1889403831509533,2.4553061800117097
2016-04-21,3.164914093443009,2.4553061800117097
2016-04-22,3.217740069762477,2.4553061800117097
2016-04-25,3.2131161952601417,2.4553061800117097
2016-04-26,3.270611252767124,2.4553061800117097
2016-04-27,3.36864102600103,2.5416019934645457
2016-04-28,3.290935124064957,2.5416019934645457
2016-04-29,3.31826278429492,2.5416019934645457
2016-05-02,3.285975616462933,2.5416019934645457
2016-05-03,3.2484902214323133,2.5416019934645457
2016-05-04,3.2297331588359937,2.5447466501440172
2016-05-05,3.2573974403096124,2.5447466501440172
2016-05-06,3.247801753248489,2.5447466501440172
2016-05-09,3.2005599764836545,2.5447466501440172
2016-05-10,3.2866383070090577,2.5447466501440172
2016-05-11,3.2756473554024534,2.5447466501440172
2016-05-12,3.2481460465889547,2.5447466501440172
2016-05-13,3.2027236989276413,2.5447466501440172
2016-05-16,3.242623077767366,2.5447466501440172
2016-05-17,3.299146699195285,2.5447466501440172
2016-05-18,3.23462998568956,2.5447466501440172
2016-05-19,3.224107264955952,2.5447466501440172
2016-05-20,3.2563737241295057,2.5447466501440172
2016-05-23,3.2498657374680744,2.5447466501440172
2016-05-24,3.2587607670379226,2.5447466501440172
2016-05-25,3.3414200443138378,2.5447466501440172
2016-05-26,3.304041471570849,2.5447466501440172
2016-05-27,3.299146699195285,2.5447466501440172
2016-05-31,3.329749828282193,2.5447466501440172
2016-06-01,3.3439255263644383,2.5447466501440172
2016-06-02,3.349540013972875,2.5447466501440172
2016-06-03,3.3192250939096843,2.5447466501440172
2016-06-06,3.4031323742159807,2.5447466501440172
2016-06-07,3.4255790242738544,2.5447466501440172
2016-06-08,3.3936536302616904,2.5447466501440172
2016-06-09,3.382881533279646,2.5447466501440172
2016-06-10,3.273635956804003,2.5447466501440172
2016-06-13,3.249178215957661,2.5257286443082556
2016-06-14,3.2539809696145268,2.5257286443082556
2016-06-15,3.2635178266370195,2.5257286443082556
2016-06-16,3.149456669749577,2.533696813957432
2016-06-17,3.258079336004297,2.624668592163159
2016-06-20,3.2594417340356405,2.60638654732571
2016-06-21,3.2556906639953613,2.6195832197798796
2016-06-22,3.250209321047303,2.6195832197798796
2016-06-23,3.285975616462933,2.6195832197798796
2016-06-24,3.195855788325544,2.6195832197798796
2016-06-27,3.1055746536569213,2.5556757206762075
2016-06-28,3.179030226801083,2.5556757206762075
2016-06-29,3.2034439006175037,2.5494451709255714
2016-06-30,3.174964429296637,2.532902848056256
2016-07-01,3.2141851424504004,2.532902848056256
2016-07-05,3.1368394119428076,2.5764217586237734
2016-07-06,3.151733710580231,2.6026896854443837
2016-07-07,3.0704266203868302,2.6026896854443837
2016-07-08,3.097203067988224,2.6026896854443837
2016-07-11,3.0567646401418154,2.6026896854443837
2016-07-12,3.1764448144675534,2.6026896854443837
2016-07-13,3.1422116428215325,2.6026896854443837
2016-07-14,3.141062877620523,2.6026896854443837
2016-07-15,3.1551395795301196,2.6026896854443837
2016-07-18,3.167902515536813,2.649714624089247
2016-07-19,3.1630417843400505,2.6468837658647226
2016-07-20,3.1716255280310803,2.6468837658647226
2016-07-21,3.1604146482803084,2.7113846356910827
2016-07-22,3.15211271380535,2.7087166456453704
2016-07-25,3.1007994754610446,2.6946271807700692
2016-07-26,3.149456669749577,2.6979998652487085
2016-07-27,3.1150571427250693,2.7137008726110246
2016-07-28,3.1325980329239806,2.7013612129514133
2016-07-29,3.1797676899636707,2.6878474937846906
2016-08-01,3.1055746536569213,2.63834278867739
2016-08-02,3.1452685806253315,2.63834278867739
2016-08-03,3.2769860436884874,2.63834278867739
2016-08-04,3.236721307472209,2.63834278867739
2016-08-05,3.2567150793158857,2.63834278867739
2016-08-08,3.3150483810100475,2.63834278867739
2016-08-09,3.2919240807975467,2.63834278867739
2016-08-10,3.3098837471951557,2.63834278867739
2016-08-11,3.3566685115419443,2.63834278867739
2016-08-12,3.364359673895858,2.63834278867739
2016-08-15,3.4296066476697966,2.63834278867739
