ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2021-01-04T00:00:00.000000000Z,35,2,20,133.800000000,134.430000000,126.760000000,129.250000000,35408893,AAPL
2021-01-04T00:00:00.000000000Z,35,2,3786,1762.210000000,1763.000000000,1707.800000000,1724.400000000,560526,GOOG
2021-01-04T00:00:00.000000000Z,35,2,5713,222.910000000,223.400000000,214.820000000,217.420000000,12851122,MSFT
2021-01-05T00:00:00.000000000Z,35,2,3789,1732.000000000,1747.630000000,1718.000000000,1740.000000000,323035,GOOG
2021-01-05T00:00:00.000000000Z,35,2,20,129.940000000,131.740000000,128.320000000,130.740000000,19921518,AAPL
2021-01-05T00:00:00.000000000Z,35,2,5719,218.000000000,218.520000000,215.700000000,217.740000000,7389323,MSFT
2021-01-06T00:00:00.000000000Z,35,2,3793,1705.000000000,1748.500000000,1692.000000000,1741.930000000,896255,GOOG
2021-01-06T00:00:00.000000000Z,35,2,20,128.190000000,131.040000000,126.310000000,127.370000000,34897192,AAPL
2021-01-06T00:00:00.000000000Z,35,2,5721,214.000000000,216.480000000,211.940000000,213.300000000,13653340,MSFT
2021-01-07T00:00:00.000000000Z,35,2,3794,1738.500000000,1788.800000000,1737.000000000,1781.000000000,710502,GOOG
2021-01-07T00:00:00.000000000Z,35,2,5727,214.000000000,219.340000000,213.230000000,218.290000000,10315105,MSFT
2021-01-07T00:00:00.000000000Z,35,2,20,127.990000000,131.625000000,127.410000000,130.960000000,23925753,AAPL
2021-01-08T00:00:00.000000000Z,35,2,5737,218.770000000,220.580000000,217.030000000,219.800000000,7990988,MSFT
2021-01-08T00:00:00.000000000Z,35,2,20,131.660000000,132.840000000,130.230000000,131.910000000,22448608,AAPL
2021-01-08T00:00:00.000000000Z,35,2,3802,1787.250000000,1812.440000000,1773.500000000,1808.890000000,526408,GOOG
2021-01-11T00:00:00.000000000Z,35,2,20,131.390000000,131.770000000,128.500000000,129.110000000,22859315,AAPL
2021-01-11T00:00:00.000000000Z,35,2,5740,218.620000000,219.600000000,216.740000000,217.900000000,8436578,MSFT
2021-01-11T00:00:00.000000000Z,35,2,3803,1800.990000000,1800.990000000,1760.650000000,1768.000000000,361164,GOOG
2021-01-12T00:00:00.000000000Z,35,2,20,129.170000000,129.950000000,126.865000000,129.000000000,17207989,AAPL
2021-01-12T00:00:00.000000000Z,35,2,3806,1772.260000000,1777.370000000,1724.900000000,1747.000000000,424162,GOOG
2021-01-12T00:00:00.000000000Z,35,2,5748,217.710000000,218.100000000,213.320000000,215.040000000,6353381,MSFT
2021-01-13T00:00:00.000000000Z,35,2,3815,1746.550000000,1765.000000000,1733.680000000,1754.600000000,333514,GOOG
2021-01-13T00:00:00.000000000Z,35,2,5757,215.500000000,216.860000000,213.530000000,216.400000000,7086055,MSFT
2021-01-13T00:00:00.000000000Z,35,2,20,129.310000000,131.450000000,128.300000000,131.030000000,19736567,AAPL
2021-01-14T00:00:00.000000000Z,35,2,3818,1752.580000000,1775.250000000,1733.400000000,1746.630000000,406480,GOOG
2021-01-14T00:00:00.000000000Z,35,2,5765,216.720000000,217.460000000,212.530000000,213.760000000,10711979,MSFT
2021-01-14T00:00:00.000000000Z,35,2,20,131.010000000,131.150000000,128.780000000,129.260000000,19502259,AAPL
